Index,"Region, subregion, country or area","Country
code",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
1,WORLD,900,"   29,6","   31,6","   33,8","   35,6","   36,6","   37,7","   39,3","   41,2","   43,0","   44,8","   46,7","   49,2","   51,7","   53,9","   56,2","   58,3","   60,4","   62,5","   64,5","   66,4","   68,4"
2,More developed regions,901,"   54,8","   57,9","   61,1","   64,1","   66,8","   68,8","   70,3","   71,4","   72,4","   73,3","   74,2","   75,9","   77,2","   78,1","   79,1","   80,2","   81,4","   82,7","   84,0","   85,4","   86,6"
3,Less developed regions,902,"   17,7","   19,7","   21,9","   24,0","   25,3","   26,9","   29,4","   32,2","   34,9","   37,5","   40,1","   43,1","   46,1","   49,0","   51,7","   54,3","   56,7","   59,0","   61,3","   63,4","   65,6"
4,Least developed countries,941,"   7,5","   8,5","   9,7","   11,1","   12,8","   14,5","   17,1","   19,3","   21,5","   23,4","   25,0","   27,1","   29,5","   32,0","   34,6","   37,4","   40,4","   43,4","   46,4","   49,4","   52,5"
5,"Less developed regions, excluding least developed countries",934,"   19,0","   21,1","   23,5","   25,6","   26,9","   28,5","   31,0","   34,0","   36,8","   39,6","   42,4","   45,7","   49,0","   52,1","   55,1","   57,8","   60,4","   62,8","   65,1","   67,3","   69,4"
6,"Less developed regions, excluding China",948,"   20,3","   22,3","   24,3","   26,4","   28,6","   30,9","   33,4","   35,7","   37,9","   39,6","   41,2","   43,0","   44,9","   46,8","   48,8","   50,9","   53,1","   55,4","   57,8","   60,2","   62,7"
7,High-income countries,1503,"   58,5","   61,1","   63,8","   66,3","   68,7","   70,4","   71,8","   73,1","   74,4","   75,7","   76,8","   78,6","   80,0","   80,9","   81,9","   82,8","   83,9","   85,0","   86,2","   87,3","   88,4"
8,Middle-income countries,1517,"   19,9","   22,2","   24,5","   26,7","   27,8","   29,4","   31,7","   34,3","   36,7","   39,1","   41,6","   44,7","   47,9","   50,8","   53,7","   56,5","   59,0","   61,5","   63,9","   66,1","   68,3"
9,Upper-middle-income countries,1502,"   22,1","   25,1","   28,4","   31,3","   32,2","   33,6","   36,3","   39,8","   42,9","   46,4","   50,3","   55,0","   59,8","   64,1","   68,2","   71,7","   74,8","   77,3","   79,3","   81,0","   82,6"
10,Lower-middle-income countries,1501,"   17,2","   18,6","   19,9","   21,2","   22,6","   24,3","   26,3","   28,2","   30,0","   31,6","   33,1","   35,0","   37,1","   39,2","   41,6","   44,2","   47,0","   49,9","   52,9","   56,0","   59,0"
11,Low-income countries,1500,"   9,3","   10,4","   11,9","   13,5","   15,7","   17,5","   19,1","   20,9","   22,8","   24,3","   25,7","   27,2","   28,9","   30,9","   33,2","   35,7","   38,3","   41,2","   44,2","   47,2","   50,2"
12,Sub-Saharan Africa,947,"   11,1","   12,9","   14,9","   16,5","   18,3","   20,4","   22,6","   24,9","   27,5","   29,6","   31,4","   33,7","   36,1","   38,8","   41,4","   44,2","   47,0","   49,8","   52,5","   55,3","   58,1"
13,AFRICA,903,"   14,3","   16,3","   18,6","   20,6","   22,6","   24,7","   26,8","   29,1","   31,5","   33,5","   35,0","   36,9","   38,9","   41,2","   43,5","   45,9","   48,4","   50,9","   53,6","   56,2","   58,9"
14,Eastern Africa,910,"   5,7","   6,7","   7,7","   9,1","   10,7","   12,5","   14,6","   16,2","   18,0","   19,7","   21,0","   22,5","   24,4","   26,6","   29,0","   31,6","   34,5","   37,5","   40,7","   43,8","   47,1"
15,Burundi,108,"   1,7","   1,9","   2,1","   2,3","   2,8","   3,5","   4,3","   5,2","   6,3","   7,2","   8,2","   9,4","   10,6","   12,1","   13,7","   15,5","   17,6","   19,9","   22,3","   25,0","   27,9"
16,Comoros,174,"   6,6","   9,2","   12,6","   17,0","   19,4","   21,2","   23,2","   25,5","   27,9","   28,3","   28,1","   27,9","   28,0","   28,5","   29,4","   30,7","   32,5","   34,6","   36,6","   38,8","   41,0"
17,Djibouti,262,"   39,8","   45,0","   50,3","   56,1","   61,8","   67,1","   72,1","   74,9","   76,0","   76,3","   76,5","   76,8","   77,0","   77,4","   78,1","   78,9","   80,0","   81,2","   82,4","   83,6","   84,7"
18,Eritrea,232,"   7,1","   8,4","   9,8","   11,5","   12,7","   13,5","   14,4","   15,8","   18,9","   22,5","   26,6","   31,1","   35,2","   38,2","   41,3","   44,6","   47,8","   51,0","   54,1","   57,1","   60,1"
19,Ethiopia,231,"   4,6","   5,4","   6,4","   7,6","   8,6","   9,5","   10,4","   11,5","   12,6","   13,8","   14,7","   15,7","   17,3","   19,4","   21,7","   24,2","   26,9","   29,7","   32,7","   35,8","   39,1"
20,Kenya,404,"   5,6","   6,4","   7,4","   8,6","   10,3","   12,9","   15,6","   16,1","   16,7","   18,3","   19,9","   21,7","   23,6","   25,7","   28,0","   30,6","   33,4","   36,5","   39,7","   42,9","   46,3"
21,Madagascar,450,"   7,8","   9,1","   10,6","   12,4","   14,1","   16,3","   18,5","   20,9","   23,6","   25,8","   27,1","   28,8","   31,9","   35,2","   38,5","   41,9","   45,2","   48,5","   51,6","   54,8","   57,9"
22,Malawi,454,"   3,5","   3,9","   4,4","   4,9","   6,1","   7,7","   9,1","   10,2","   11,6","   13,3","   14,6","   15,1","   15,5","   16,3","   17,4","   18,9","   20,9","   23,3","   26,0","   28,9","   32,0"
23,Mauritius,480,"   29,3","   31,6","   35,1","   38,8","   42,6","   43,4","   42,4","   42,3","   43,9","   43,3","   42,7","   42,1","   41,6","   41,0","   40,8","   41,0","   41,9","   43,2","   45,1","   47,3","   49,5"
24,Mayotte,175,"   8,5","   11,9","   16,3","   22,0","   25,1","   27,5","   30,1","   33,0","   36,1","   41,5","   47,7","   50,2","   49,0","   47,0","   45,8","   45,3","   45,7","   47,0","   49,0","   51,2","   53,4"
25,Mozambique,508,"   5,5","   6,1","   6,9","   7,9","   9,0","   10,9","   13,2","   18,3","   25,0","   27,5","   29,1","   30,0","   31,8","   34,4","   37,1","   39,9","   42,9","   46,0","   49,1","   52,2","   55,3"
26,Réunion,638,"   23,5","   27,9","   32,8","   38,2","   41,7","   44,5","   53,5","   67,9","   81,2","   86,1","   91,2","   96,3","   98,5","   99,3","   99,7","   99,8","   99,9","   99,9","   99,9","   99,9","   99,9"
27,Rwanda,646,"   2,1","   2,3","   2,6","   2,9","   3,2","   4,0","   4,7","   5,1","   5,4","   9,8","   14,9","   16,9","   16,9","   17,0","   17,4","   18,3","   19,6","   21,5","   23,9","   26,7","   29,6"
28,Seychelles,690,"   27,4","   27,5","   27,7","   33,1","   39,1","   46,3","   49,4","   49,3","   49,3","   49,6","   50,4","   51,7","   53,3","   55,4","   57,5","   59,7","   61,7","   63,8","   65,8","   67,7","   69,6"
29,Somalia,706,"   12,7","   14,9","   17,3","   20,0","   22,7","   25,5","   26,8","   28,1","   29,7","   31,4","   33,2","   36,3","   39,3","   43,2","   46,1","   49,1","   52,1","   55,2","   58,1","   61,0","   63,8"
30,South Sudan,728,"   8,9","   8,8","   8,7","   8,7","   8,6","   8,6","   8,5","   9,8","   13,3","   15,9","   16,5","   17,2","   17,9","   18,9","   20,2","   21,9","   24,1","   26,8","   29,7","   32,8","   36,0"
31,Uganda,800,"   2,8","   3,5","   4,4","   5,5","   6,7","   7,0","   7,5","   9,2","   11,1","   12,8","   14,8","   17,0","   19,4","   22,1","   25,0","   28,0","   31,2","   34,4","   37,7","   40,9","   44,1"
32,United Republic of Tanzania,834,"   3,5","   4,4","   5,2","   6,0","   7,9","   11,1","   14,6","   16,8","   18,9","   20,5","   22,3","   24,8","   28,1","   31,6","   35,2","   38,9","   42,4","   45,9","   49,1","   52,3","   55,4"
33,Zambia,894,"   11,5","   14,5","   18,1","   23,4","   30,4","   34,9","   39,8","   39,7","   39,4","   37,1","   34,8","   36,9","   39,4","   41,9","   44,6","   47,5","   50,5","   53,5","   56,5","   59,5","   62,4"
34,Zimbabwe,716,"   10,6","   11,6","   12,6","   14,6","   17,4","   19,9","   22,4","   25,4","   29,0","   31,7","   33,8","   34,1","   33,2","   32,4","   32,2","   32,9","   34,2","   36,4","   39,4","   42,6","   45,9"
35,Middle Africa,911,"   13,9","   15,6","   17,6","   19,6","   21,9","   25,2","   28,1","   31,0","   34,0","   36,9","   39,7","   42,6","   45,2","   47,9","   50,6","   53,4","   56,2","   59,0","   61,7","   64,4","   67,0"
36,Angola,24,"   7,6","   8,9","   10,4","   12,5","   15,0","   19,1","   24,3","   30,3","   37,1","   44,2","   50,1","   56,0","   59,8","   63,4","   66,8","   69,9","   72,5","   74,9","   76,9","   78,7","   80,4"
37,Cameroon,120,"   9,3","   11,4","   13,9","   16,9","   20,3","   27,3","   31,9","   36,2","   39,7","   42,6","   45,5","   48,5","   51,6","   54,6","   57,6","   60,5","   63,2","   65,9","   68,4","   70,8","   73,1"
38,Central African Republic,140,"   14,4","   17,1","   20,1","   23,5","   27,5","   32,0","   33,9","   35,5","   36,8","   37,2","   37,6","   38,1","   38,9","   40,3","   42,2","   44,7","   47,6","   50,8","   54,0","   57,1","   60,2"
39,Chad,148,"   4,5","   5,5","   6,7","   8,4","   11,6","   15,6","   18,8","   19,8","   20,8","   21,5","   21,6","   21,8","   22,0","   22,5","   23,5","   25,0","   27,1","   29,8","   32,8","   36,0","   39,3"
40,Congo,178,"   24,9","   28,1","   31,6","   35,3","   39,1","   43,3","   47,9","   52,2","   54,3","   56,4","   58,7","   61,0","   63,3","   65,5","   67,8","   70,1","   72,3","   74,4","   76,4","   78,2","   80,0"
41,Democratic Republic of the Congo,180,"   19,1","   20,7","   22,3","   23,4","   24,6","   25,8","   27,1","   28,5","   30,6","   32,8","   35,1","   37,5","   40,0","   42,7","   45,6","   48,7","   51,8","   54,8","   57,9","   60,9","   63,8"
42,Equatorial Guinea,226,"   15,5","   20,4","   25,5","   26,5","   27,0","   27,4","   27,9","   29,9","   34,7","   40,5","   49,1","   57,7","   65,9","   70,6","   73,1","   75,3","   77,2","   78,9","   80,3","   81,6","   82,8"
43,Gabon,266,"   11,4","   14,1","   17,4","   23,8","   32,0","   43,0","   54,7","   62,4","   69,1","   74,8","   78,9","   82,5","   85,5","   88,1","   90,1","   91,6","   92,7","   93,5","   94,0","   94,5","   95,0"
44,Sao Tome and Principe,678,"   13,5","   14,7","   16,1","   21,8","   29,5","   31,6","   33,5","   38,0","   43,6","   48,6","   53,4","   59,2","   65,0","   70,2","   74,4","   77,6","   80,0","   81,8","   83,1","   84,2","   85,3"
45,Northern Africa,912,"   25,9","   28,6","   31,5","   34,5","   37,0","   39,4","   41,3","   43,5","   45,7","   47,3","   48,3","   49,3","   50,5","   51,4","   52,5","   53,8","   55,3","   57,2","   59,4","   61,7","   64,1"
46,Algeria,12,"   22,2","   26,1","   30,5","   37,6","   39,5","   40,3","   43,5","   48,0","   52,1","   56,0","   59,9","   63,8","   67,5","   70,8","   73,7","   76,2","   78,3","   80,0","   81,6","   83,1","   84,5"
47,Egypt,818,"   31,9","   34,8","   37,9","   39,7","   41,5","   43,3","   43,9","   43,9","   43,5","   42,8","   42,8","   43,0","   43,0","   42,8","   42,8","   43,4","   44,8","   46,8","   49,4","   52,5","   55,6"
48,Libya,434,"   19,5","   23,2","   27,3","   33,7","   49,7","   62,8","   70,1","   75,5","   75,7","   76,0","   76,4","   77,1","   78,1","   79,3","   80,7","   82,2","   83,6","   85,0","   86,2","   87,4","   88,4"
49,Morocco,504,"   26,2","   27,7","   29,4","   31,9","   34,5","   37,7","   41,2","   44,8","   48,4","   51,7","   53,3","   55,2","   58,0","   60,8","   63,5","   66,2","   68,7","   71,0","   73,2","   75,3","   77,2"
50,Sudan,729,"   6,8","   8,6","   10,7","   13,4","   16,5","   18,9","   20,0","   22,9","   28,6","   32,2","   32,5","   32,8","   33,1","   33,9","   35,3","   37,2","   39,7","   42,8","   46,0","   49,3","   52,6"
51,Tunisia,788,"   32,3","   35,2","   37,5","   39,7","   43,5","   47,6","   50,6","   53,8","   57,9","   61,5","   63,4","   65,2","   66,7","   68,1","   69,6","   71,2","   73,0","   74,8","   76,7","   78,5","   80,2"
52,Western Sahara,732,"   31,0","   31,1","   31,2","   36,2","   42,1","   59,5","   75,7","   82,3","   84,1","   85,5","   85,8","   86,0","   86,3","   86,5","   86,8","   87,3","   87,8","   88,5","   89,2","   90,0","   90,7"
53,Southern Africa,913,"   37,7","   39,8","   42,0","   42,9","   43,7","   44,3","   44,8","   46,0","   48,8","   51,4","   53,8","   56,5","   59,4","   62,1","   64,6","   67,1","   69,4","   71,6","   73,6","   75,4","   77,2"
54,Botswana,72,"   2,7","   2,9","   3,1","   3,8","   7,8","   11,9","   16,5","   26,7","   41,9","   49,0","   53,2","   55,9","   62,4","   67,2","   70,9","   74,1","   76,8","   79,1","   81,0","   82,5","   83,9"
55,Lesotho,426,"   1,8","   2,0","   3,5","   6,4","   8,6","   10,8","   11,5","   11,8","   14,0","   17,0","   19,5","   22,2","   24,8","   26,9","   29,0","   31,4","   34,0","   36,9","   39,9","   43,1","   46,4"
56,Namibia,516,"   13,4","   15,5","   17,9","   20,0","   22,3","   23,7","   25,1","   26,4","   27,7","   29,8","   32,4","   36,6","   41,6","   46,9","   52,0","   56,7","   60,8","   64,2","   67,1","   69,5","   71,8"
57,South Africa,710,"   42,2","   44,4","   46,6","   47,2","   47,8","   48,1","   48,4","   49,4","   52,0","   54,5","   56,9","   59,5","   62,2","   64,8","   67,4","   69,8","   72,1","   74,2","   76,2","   78,0","   79,8"
58,Swaziland,748,"   2,2","   2,5","   3,9","   6,5","   9,7","   14,0","   16,5","   18,3","   20,2","   22,3","   22,7","   22,0","   22,5","   23,3","   24,2","   25,2","   26,5","   28,1","   29,8","   31,8","   33,8"
59,Western Africa,914,"   9,3","   11,7","   14,6","   16,6","   18,7","   21,1","   23,6","   26,9","   30,2","   32,3","   34,5","   37,8","   41,1","   44,5","   47,7","   50,7","   53,6","   56,3","   58,9","   61,4","   63,8"
60,Benin,204,"   5,0","   6,8","   9,3","   12,5","   16,7","   21,9","   27,3","   30,8","   34,5","   36,8","   38,3","   40,5","   43,1","   45,7","   48,4","   51,2","   54,1","   57,1","   59,9","   62,7","   65,4"
61,Burkina Faso,854,"   3,8","   4,2","   4,7","   5,2","   5,7","   6,3","   8,8","   12,3","   13,8","   15,1","   17,8","   21,5","   24,6","   27,5","   30,6","   33,8","   37,1","   40,4","   43,7","   46,9","   50,2"
62,Cabo Verde,132,"   14,2","   15,4","   16,7","   18,1","   19,6","   21,4","   23,5","   31,5","   44,1","   48,8","   53,4","   57,7","   61,8","   64,3","   66,7","   68,8","   70,9","   72,7","   74,4","   76,0","   77,5"
63,Côte d'Ivoire,384,"   10,0","   13,1","   17,7","   24,5","   28,2","   32,2","   36,8","   37,9","   39,3","   41,2","   43,2","   45,2","   47,3","   49,4","   51,7","   54,1","   56,7","   59,4","   62,2","   64,8","   67,4"
64,Gambia,270,"   10,3","   11,2","   12,1","   14,5","   19,5","   24,4","   28,4","   33,0","   38,3","   43,4","   47,9","   52,0","   55,7","   59,2","   62,6","   65,7","   68,5","   71,0","   73,2","   75,3","   77,2"
65,Ghana,288,"   15,4","   19,1","   23,3","   26,1","   29,0","   30,0","   31,2","   32,9","   36,4","   40,1","   43,9","   47,3","   50,7","   54,1","   57,3","   60,5","   63,4","   66,1","   68,6","   70,9","   73,2"
66,Guinea,324,"   6,7","   8,4","   10,5","   13,0","   16,0","   19,5","   23,6","   26,6","   28,0","   29,5","   30,9","   32,3","   33,7","   35,1","   36,9","   39,0","   41,4","   44,2","   47,3","   50,4","   53,6"
67,Guinea-Bissau,624,"   10,0","   11,7","   13,6","   14,3","   15,1","   16,0","   17,8","   23,7","   30,8","   34,4","   36,2","   38,2","   40,1","   42,1","   44,2","   46,3","   48,5","   50,7","   52,9","   55,1","   57,2"
68,Liberia,430,"   13,0","   15,6","   18,6","   22,1","   26,0","   30,4","   35,2","   42,4","   55,4","   46,0","   44,3","   46,1","   47,8","   49,8","   52,1","   54,6","   57,3","   60,1","   62,9","   65,6","   68,2"
69,Mali,466,"   8,5","   9,7","   11,1","   12,6","   14,3","   16,2","   18,5","   21,0","   23,3","   25,5","   28,4","   32,1","   36,0","   40,0","   43,9","   47,7","   51,2","   54,4","   57,4","   60,3","   63,2"
70,Mauritania,478,"   3,1","   4,6","   6,9","   10,1","   14,6","   20,6","   27,4","   35,0","   39,3","   38,7","   38,1","   42,1","   46,6","   51,1","   55,3","   59,2","   62,7","   65,7","   68,2","   70,6","   72,9"
71,Niger,562,"   4,9","   5,3","   5,8","   6,8","   8,8","   11,4","   13,4","   14,5","   15,4","   15,8","   16,2","   16,2","   16,2","   16,2","   16,6","   17,4","   18,7","   20,5","   22,9","   25,6","   28,4"
72,Nigeria,566,"   9,4","   12,1","   15,4","   16,6","   17,8","   19,8","   22,0","   25,6","   29,7","   32,2","   34,8","   39,1","   43,5","   47,8","   52,0","   55,8","   59,2","   62,2","   64,9","   67,4","   69,9"
73,Saint Helena,654,"   51,4","   50,3","   49,2","   48,1","   46,4","   44,5","   43,8","   43,5","   42,6","   41,3","   40,4","   39,9","   39,5","   39,5","   40,1","   41,1","   42,7","   44,8","   47,0","   49,2","   51,4"
74,Senegal,686,"   17,2","   20,0","   23,0","   26,4","   30,0","   33,7","   35,8","   37,5","   38,9","   39,6","   40,3","   41,7","   43,8","   45,9","   48,1","   50,6","   53,2","   56,0","   58,9","   61,7","   64,5"
75,Sierra Leone,694,"   12,6","   14,8","   17,4","   20,4","   24,0","   27,7","   29,8","   32,0","   33,3","   34,4","   35,6","   36,9","   38,9","   40,8","   42,9","   45,3","   47,8","   50,6","   53,6","   56,6","   59,6"
76,Togo,768,"   4,4","   6,7","   10,1","   15,0","   21,3","   22,9","   24,7","   26,6","   28,6","   30,7","   32,9","   35,2","   37,5","   40,1","   42,8","   45,6","   48,6","   51,6","   54,7","   57,6","   60,6"
77,ASIA,935,"   17,5","   19,3","   21,2","   22,9","   23,7","   25,0","   27,1","   29,8","   32,3","   34,8","   37,5","   41,2","   44,8","   48,0","   51,1","   54,0","   56,7","   59,2","   61,6","   63,9","   66,2"
78,Eastern Asia,906,"   17,9","   20,2","   22,9","   25,1","   25,0","   25,5","   27,5","   30,7","   33,9","   37,8","   42,0","   48,3","   54,4","   59,8","   64,8","   69,2","   72,8","   75,7","   78,0","   79,8","   81,4"
79,China,156,"   11,8","   13,9","   16,2","   18,1","   17,4","   17,4","   19,4","   22,9","   26,4","   31,0","   35,9","   42,5","   49,2","   55,5","   61,4","   66,5","   70,6","   73,9","   76,4","   78,3","   80,0"
80,"China, Hong Kong SAR",344,"   85,2","   85,2","   85,2","   86,4","   87,7","   89,7","   91,5","   92,9","   99,5","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0"
81,"China, Macao SAR",446,"   96,9","   96,2","   95,3","   96,2","   97,0","   97,9","   98,5","   99,4","   99,8","   99,9","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0","   100,0"
82,"China, Taiwan Province of China",158,"   26,8","   29,1","   31,4","   33,9","   36,5","   39,8","   48,7","   57,7","   66,3","   68,4","   69,9","   72,3","   74,7","   76,9","   78,9","   80,8","   82,4","   83,9","   85,1","   86,4","   87,5"
83,Dem. People's Republic of Korea,408,"   31,0","   35,5","   40,2","   45,1","   54,2","   56,7","   56,9","   57,6","   58,4","   59,0","   59,4","   59,8","   60,4","   61,3","   62,4","   63,8","   65,6","   67,6","   69,8","   72,0","   74,2"
84,Japan,392,"   53,4","   58,4","   63,3","   67,9","   71,9","   75,7","   76,2","   76,7","   77,3","   78,0","   78,6","   86,0","   90,8","   91,4","   91,8","   92,2","   92,7","   93,2","   93,7","   94,2","   94,7"
85,Mongolia,496,"   20,0","   26,6","   35,7","   42,1","   45,1","   48,7","   52,1","   55,0","   57,0","   56,8","   57,1","   62,5","   67,6","   68,2","   68,7","   69,5","   70,6","   72,1","   73,9","   75,8","   77,7"
86,Republic of Korea,410,"   21,4","   24,4","   27,7","   32,4","   40,7","   48,0","   56,7","   64,9","   73,8","   78,2","   79,6","   81,3","   81,9","   81,6","   81,4","   81,6","   82,0","   82,9","   84,0","   85,2","   86,4"
87,South-Central Asia,921,"   16,6","   17,4","   18,2","   19,3","   20,5","   22,3","   24,4","   25,9","   27,3","   28,4","   29,6","   31,3","   33,1","   35,0","   37,1","   39,4","   42,0","   44,9","   47,9","   51,0","   54,1"
88,Central Asia,5500,"   32,7","   35,9","   38,9","   40,9","   42,8","   44,4","   45,2","   45,4","   45,2","   45,2","   45,7","   46,8","   48,0","   48,1","   48,3","   49,1","   50,5","   52,5","   54,9","   57,7","   60,5"
89,Kazakhstan,398,"   36,4","   40,4","   44,2","   47,0","   50,2","   52,6","   54,1","   56,0","   56,3","   55,9","   56,1","   56,5","   56,8","   57,2","   57,7","   58,6","   60,0","   61,9","   64,1","   66,6","   69,1"
90,Kyrgyzstan,417,"   26,5","   30,6","   34,2","   35,9","   37,5","   38,2","   38,6","   38,4","   37,8","   36,3","   35,3","   35,3","   35,3","   35,8","   36,9","   38,6","   40,9","   43,9","   47,1","   50,3","   53,6"
